Pl.;Spieler;G;MIN;PTS;2PM;2PA;2P %;3PM;3PA;3P %;FGM;FGA;FG %;FTM;FTA;FT %;DREB;OREB;TREB;AST;STL;TOV;BLK;PF;FD;EF;+/-
;Team;;;;;;;;;;;;;;;;;;;;;;;;;;
95;LOCKHART D. (SG);16;356:27:00;144;13;24;54.2%;36;75;48.0%;49;99;49.5%;10;14;71.4%;24;12;36;33;21;18;0;42;23;162;24
;Brose Bamberg;;;;;;;;;;;;;;;;;;;;;;;;;;
127;THOMPSON IV J. (C);20;375:42:00;144;52;88;59.1%;2;7;28.6%;54;95;56.8%;34;51;66.7%;70;44;114;7;8;31;9;52;43;193;-18
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
98;KING A. (SF);16;348:57:00;142;17;38;44.7%;28;77;36.4%;45;115;39.1%;24;31;77.4%;26;11;37;17;7;16;0;31;29;110;-23
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
130;KOCH F. (SF);20;398:48:00;139;31;62;50.0%;18;54;33.3%;49;116;42.2%;23;26;88.5%;51;16;67;22;12;15;0;34;25;155;-67
;s.Oliver Würzburg;;;;;;;;;;;;;;;;;;;;;;;;;;
143;KERUSCH S. (SF);21;300:23:00;138;30;55;54.5%;17;58;29.3%;47;113;41.6%;27;30;90.0%;41;35;76;9;6;13;4;35;22;151;-40
;SYNTAINICS MBC;;;;;;;;;;;;;;;;;;;;;;;;;;
136;RODRIGUEZ D. (SF);20;257:49:00;137;41;67;61.2%;9;35;25.7%;50;102;49.0%;28;42;66.7%;34;20;54;10;14;21;8;43;32;136;52
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
137;DILEO A. (PG);20;423:39:00;137;28;59;47.5%;11;37;29.7%;39;96;40.6%;48;50;96.0%;31;11;42;57;26;25;0;50;59;178;41
;Telekom Baskets Bonn;;;;;;;;;;;;;;;;;;;;;;;;;;
146;DARDEN T. (SG);21;374:54:00;137;45;77;58.4%;6;21;28.6%;51;98;52.0%;29;34;85.3%;43;9;53;16;11;15;12;45;32;162;98
;MHP RIESEN Ludwigsburg;;;;;;;;;;;;;;;;;;;;;;;;;;
153;BLECK F. (SF);22;559:29:00;134;37;71;52.1%;13;42;31.0%;50;113;44.3%;21;33;63.6%;63;32;95;38;21;18;6;47;33;201;82
;HAKRO Merlins Crailsheim;;;;;;;;;;;;;;;;;;;;;;;;;;
87;LAWSON III J. (PF);14;241:00:00;133;42;67;62.7%;5;17;29.4%;47;84;56.0%;34;38;89.5%;31;10;41;9;5;27;0;46;33;120;-9
;NINERS Chemnitz;;;;;;;;;;;;;;;;;;;;;;;;;;
131;CONGER D. (SF);19;357:18:00;132;22;51;43.1%;16;34;47.1%;38;85;44.7%;40;47;85.1%;46;13;59;24;8;26;2;30;36;145;95
